Slovak Republic,3079,3875,4390,4406,4613,5029,4967,5609,,,,,,,,,,,,,
Slovenia,1980,2304,2586,2668,2773,3590,3800,4265,,,,,,,,,,,,,
Sweden,45907,46034,48115,54014,52999,67504,67414,80399,,,,,,,,,,,,,
Eswatini,13,69,22,23,22,22,17,,,,,,,,,,,,,,
Sint Maarten (Dutch part),113,129,125,138,89,84,93,97,,,,,,,,,,,,,
Seychelles,,,,750,,,,,,,,,,,,,,,,,
Chad,104,26,76,75,56,,,,,,,,,,,,,,,,
Togo,124,167,201,202,213,,,,,,,,,,,,,,,,
Thailand,16237,14428,17043,,,,,,,,,,,,,,,,,,
Tajikistan,12,7,9,9,6,5,7,23,,,,,,,,,,,,,
Timor-Leste,2,2,2,1,1,4,5,5,,,,,,,,,,,,,
Tonga,4,8,15,7,6,11,16,,,,,,,,,,,,,,
Trinidad and Tobago,88,102,109,138,136,188,218,240,,,,,,,,,,,,,
Tunisia,,,,906,681,1044,1321,,,,,,,,,,,,,,
Turkiye,5820,6656,6774,7176,7173,8478,9584,13259,,,,,,,,,,,,,
Tuvalu,0,1,0,0,0,0,0,,,,,,,,,,,,,,
"Taiwan, China",13415,15857,18480,19805,21244,24184,26334,27155,,,,,,,,,,,,,
Tanzania,399,414,322,348,212,273,393,,,,,,,,,,,,,,
Uganda,304,248,285,249,213,265,274,285,,,,,,,,,,,,,
Ukraine,3997,4744,5831,7040,7950,10229,10046,9733,,,,,,,,,,,,,
Uruguay,,,,3092,2802,,,,,,,,,,,,,,,,
United States,455020,498283,508032,537130,546748,619389,659263,680457,,,,,,,,,,,,,
Uzbekistan,248,256,257,274,274,328,1302,765,,,,,,,,,,,,,
St. Vincent and the Grenadines,20,18,15,17,18,18,18,18,,,,,,,,,,,,,
"Venezuela, RB",91,,,59,23,,,,,,,,,,,,,,,,
Viet Nam,,,,,2196,2316,3600,,,,,,,,,,,,,,
Vanuatu,14,14,14,11,10,10,10,,,,,,,,,,,,,,
World,2574647,2800594,3112957,3274737,3324128,3905260,4083964,4462457,,,,,,,,,,,,,
Samoa,32,43,28,35,31,41,36,44,,,,,,,,,,,,,
Kosovo,105,116,163,181,279,307,407,549,,,,,,,,,,,,,
"Yemen, Rep.",121,,,84,112,,,,,,,,,,,,,,,,
South Africa,5274,5928,6510,5885,5304,6604,7215,7834,,,,,,,,,,,,,
Zambia,146,144,137,130,84,58,41,72,,,,,,,,,,,,,
Zimbabwe,76,56,54,89,74,,,,,,,,,,,,,,,,
